153845-153847	-450	-450.0	-7.714954e-06	-16.5103912	-999	-999	-999	-26.63034625	0
153848-153850	-460	-460.0	-7.453889e-06	-18.2052612	-999	-999	-999	-28.8385525	0
153851-153853	-470	-470.0	-7.910275e-06	-18.7530518	-999	-999	-999	-30.279809375	0
153854-153856	-480	-480.0	-8.668049e-06	-18.9666748	-999	-999	-999	-31.29053875	0
153857-153859	-485	-485.0	-9.020122e-06	-19.13414	-999	-999	-999	-31.99571875	0
153860-153862	-490	-490.0	-9.559357e-06	-19.2180634	-999	-999	-999	-32.503475625	0
153863-153865	-495	-495.0	-1.014345e-05	-19.2489624	-999	-999	-999	-32.888216875	0
153866-153868	-500	-500.0	-1.076223e-05	-19.2756653	-999	-999	-999	-33.19810875	0
153869-153871	-505	-505.0	-1.143258e-05	-19.3569183	-999	-999	-999	-33.47151	0
153872-153874	-510	-510.0	-1.222137e-05	-19.2993164	-999	-999	-999	-33.646145	0
153875-153877	-515	-515.0	-1.318833e-05	-19.1482544	-999	-999	-999	-33.688933125	0
153878-153880	-520	-520.0	-1.436966e-05	-18.9907074	-999	-999	-999	-33.621074375	0
153881-153883	-525	-525.0	-1.577327e-05	-18.7030792	-999	-999	-999	-33.36124125	0
153884-153886	-530	-530.0	-1.74143e-05	-18.5043335	-999	-999	-999	-33.082251875	0
153887-153889	-535	-535.0	-1.892631e-05	-18.4959412	-999	-999	-999	-33.047234375	0
153890-153892	-540	-540.0	-2.040129e-05	-18.4581757	-999	-999	-999	-33.114190625	0
153893-153895	-545	-545.0	-2.227611e-05	-18.4764862	-999	-999	-999	-33.135430625	0
153896-153898	-550	-550.0	-2.400494e-05	-18.4677124	-999	-999	-999	-33.186571875	0
153897	-550	-550.0	-2.364323e-05	-18.4604645	-999	-999	-999	-33.213795625	0
