153782-153784	-400	-400.0	-9.013383e-06	-17.5022125	-999	-999	-999	-27.90252125	0
153785-153787	-410	-410.0	-9.073539e-06	-18.5836792	-999	-999	-999	-28.870095625	0
153788-153790	-420	-420.0	-9.822973e-06	-18.8617706	-999	-999	-999	-29.324650625	0
153791-153793	-430	-430.0	-1.085025e-05	-18.9628601	-999	-999	-999	-29.53012375	0
153794-153796	-435	-435.0	-1.136673e-05	-19.058609	-999	-999	-999	-33.05212375	0
153797-153799	-440	-440.0	-1.198288e-05	-19.1310883	-999	-999	-999	-33.178550625	0
153800-153802	-445	-445.0	-1.267201e-05	-19.1913605	-999	-999	-999	-33.27128125	0
153803-153805	-450	-450.0	-1.344947e-05	-19.2054749	-999	-999	-999	-33.341835	0
153806-153808	-455	-455.0	-1.428855e-05	-19.2150116	-999	-999	-999	-33.44625375	0
153809-153811	-460	-460.0	-1.52161e-05	-19.2703247	-999	-999	-999	-33.55885625	0
153812-153814	-465	-465.0	-1.621493e-05	-19.3225861	-999	-999	-999	-33.6875825	0
153815-153817	-470	-470.0	-1.732017e-05	-19.3130493	-999	-999	-999	-33.818759375	0
153818-153820	-475	-475.0	-1.856026e-05	-19.3008423	-999	-999	-999	-33.927590625	0
153821-153823	-480	-480.0	-1.992726e-05	-19.3084717	-999	-999	-999	-34.041974375	0
153824-153826	-485	-485.0	-2.153455e-05	-19.2905426	-999	-999	-999	-34.0505075	0
153827-153829	-490	-490.0	-2.392258e-05	-18.8648224	-999	-999	-999	-33.67501	0
153830-153832	-495	-495.0	-2.679217e-05	-18.3944702	-999	-999	-999	-33.24530375	0
153833-153835	-500	-500.0	-2.973428e-05	-18.0809021	-999	-999	-999	-32.955906875	0
153836-153838	-505	-505.0	-3.232351e-05	-17.9870605	-999	-999	-999	-32.911395	0
153839-153841	-510	-510.0	-3.482607e-05	-18.0473328	-999	-999	-999	-33.02792125	0
#153840	-510	-510.0	-3.470672e-05	-18.1083679	-999	-999	-999	-33.082251875	0
#153841	-510	-510.0	-3.459709e-05	-18.1037903	-999	-999	-999	-33.10633875	0
#153842	-510	-510.0	-3.45116e-05	-18.1137085	-999	-999	-999	-33.13697875	0
#153843	-510	-510.0	-3.443502e-05	-18.107605	-999	-999	-999	-33.17812625	0
