154224-154225	-460	-460.0	-4.422571e-06	-15.2420044	-999	-999	-999	-30.1090225	0
154226-154227	-470	-470.0	-4.762911e-06	-14.9879456	-999	-999	-999	-29.794141875	0
154228-154229	-480	-480.0	-5.054876e-06	-15.0131226	-999	-999	-999	-31.446093125	0
154230-154231	-490	-490.0	-5.372087e-06	-15.1073456	-999	-999	-999	-31.710320625	0
154232-154233	-500	-500.0	-5.745809e-06	-15.1031494	-999	-999	-999	-31.881713125	0
154234-154235	-510	-510.0	-6.157661e-06	-15.1767731	-999	-999	-999	-32.007983125	0
154236-154237	-520	-520.0	-6.626512e-06	-15.1901245	-999	-999	-999	-32.08484625	0
154238-154239	-530	-530.0	-7.153739e-06	-15.2950287	-999	-999	-999	-32.26930625	0
154240-154241	-540	-540.0	-7.755996e-06	-15.3038025	-999	-999	-999	-32.451030625	0
154242-154243	-550	-550.0	-8.465733e-06	-15.3633118	-999	-999	-999	-32.58200375	0
154244-154245	-560	-560.0	-9.292898e-06	-15.3705597	-999	-999	-999	-32.63499	0
154246-154247	-570	-570.0	-1.027553e-05	-15.3743744	-999	-999	-999	-32.26448125	0
154248-154249	-580	-580.0	-1.15203e-05	-15.2770996	-999	-999	-999	-30.98862125	0
154250-154251	-585	-585.0	-1.229693e-05	-15.120697	-999	-999	-999	-30.332306875	0
154252-154253	-590	-590.0	-1.31199e-05	-15.0348663	-999	-999	-999	-30.054615625	0
154254-154255	-595	-595.0	-1.400239e-05	-14.9375916	-999	-999	-999	-30.070075625	0
154256-154257	-600	-600.0	-1.487083e-05	-14.9276733	-999	-999	-999	-30.3263175	0
