153665	-100	-100.0	-2.032134e-08	-1	-999	-999	-999	-999	0
153666	-110	-110.0	-2.336482e-08	0.0	-999	-999	-999	-999	0
153667	-120	-120.0	-2.524838e-08	0.0	-999	-999	-999	-999	0
#153668	-130	-130.0	-2.661303e-08	0.0	-999	-999	-999	-999	0
153669	-140	-140.0	-2.802734e-08	0.0	-999	-999	-999	-999	0
153670	-150	-150.0	-2.999984e-08	0.0	-999	-999	-999	-999	0
153671	-155	-155.0	-3.166494e-08	0.0	-999	-999	-999	-999	0
153672	-160	-160.0	-3.294516e-08	0.0	-999	-999	-999	-999	0
153673	-165	-165.0	-3.488987e-08	0.0	-999	-999	-999	-999	0
153674	-170	-170.0	-3.775972e-08	0.0	-999	-999	-999	-999	0
153675	-175	-175.0	-4.358093e-08	0.0	-999	-999	-999	-999	0
153676	-180	-180.0	-5.945084e-08	0.0	-999	-999	-999	-999	0
153677	-185	-185.0	-2.196044e-07	0.0	-999	-999	-999	-999	0
