154009-154010	-430	-430.0	-4.948729e-06	-14.4187927	-999	-999	-999	-32.235621875	0
154011-154012	-440	-440.0	-5.365945e-06	-14.3737793	-999	-999	-999	-32.11693625	0
154013-154014	-450	-450.0	-5.83997e-06	-14.3577576	-999	-999	-999	-32.016446875	0
154015-154016	-460	-460.0	-6.403077e-06	-14.3718719	-999	-999	-999	-31.939146875	0
154017-154018	-470	-470.0	-7.071961e-06	-14.3703461	-999	-999	-999	-31.7566775	0
154019-154020	-480	-480.0	-7.848629e-06	-14.3642426	-999	-999	-999	-31.645296875	0
154021-154022	-485	-485.0	-8.278696e-06	-14.3913269	-999	-999	-999	-31.5440625	0
154023-154024	-490	-490.0	-8.740604e-06	-14.3127441	-999	-999	-999	-31.1074875	0
154025-154026	-495	-495.0	-9.234768e-06	-14.3814087	-999	-999	-999	-30.532756875	0
154027-154028	-500	-500.0	-9.777639e-06	-14.3051147	-999	-999	-999	-30.111961875	0
154029-154030	-505	-505.0	-1.036732e-05	-14.3447876	-999	-999	-999	-29.8869775	0
154031-154032	-510	-510.0	-1.100791e-05	-14.4309998	-999	-999	-999	-29.717698125	0
154033-154034	-515	-515.0	-1.170722e-05	-14.384079	-999	-999	-999	-29.566881875	0
154035-154036	-520	-520.0	-1.248062e-05	-14.3463135	-999	-999	-999	-29.140446875	0
154037-154038	-525	-525.0	-1.331349e-05	-14.3566132	-999	-999	-999	-28.304695625	0
154039-154040	-530	-530.0	-1.424233e-05	-14.3947601	-999	-999	-999	-28.0586925	0
154041-154042	-535	-535.0	-1.526337e-05	-14.3474579	-999	-999	-999	-27.86477375	0
154043-154044	-540	-540.0	-1.638895e-05	-14.3821716	-999	-999	-999	-27.8914325	0
154045-154046	-545	-545.0	-1.766578e-05	-14.3630981	-999	-999	-999	-27.823743125	0
154047-154048	-550	-550.0	-1.911611e-05	-14.3241882	-999	-999	-999	-27.600475625	0
154049-154050	-555	-555.0	-2.076489e-05	-14.2261505	-999	-999	-999	-27.256899375	0
#154051	-560	-560.0	-2.262166e-05	-14.1548157	-999	-999	-999	-26.90051125	0
