153701	-90	-90.0	-3.266181e-09	-18.8316345	-999	-999	-999	-27.2801825	0
153702	-100	-100.0	-4.288685e-09	-18.8774109	-999	-999	-999	-27.226619375	0
153703	-105	-105.0	-4.628359e-09	-18.9224243	-999	-999	-999	-33.8686375	0
153704	-110	-110.0	-5.137379e-09	-18.9590454	-999	-999	-999	-33.746075625	0
153705	-115	-115.0	-4.86276e-09	-19.0361023	-999	-999	-999	-33.613449375	0
153706	-120	-120.0	-4.984924e-09	-19.00177	-999	-999	-999	-33.496044375	0
153707	-125	-125.0	-5.521753e-09	-19.0383911	-999	-999	-999	-33.349099375	0
153708	-130	-130.0	-6.72949e-09	-19.0422058	-999	-999	-999	-33.222218125	0
153709	-135	-135.0	-8.542085e-09	-19.0925598	-999	-999	-999	-33.114988125	0
#153710	-140	-140.0	-2.037496e-07	-19.0559387	-999	-999	-999	-33.04488875	0
